Provincia,Mbps (Media de bajada),Velocidad_Promedio_Provincia,Nueva_Velocidad,KPI_Aumento_Velocidad
Córdoba,14.8182495375679,35.07736611619202,15.559162014446295,5.000000000000008
Corrientes,11.4932283654571,29.335323255693304,12.067889783729955,5.000000000000003
Entre Ríos,10.5247535062873,27.630179819463983,11.050991181601667,5.000000000000012
Formosa,9.31849544106828,23.28657364915028,9.784420213121694,5.0000000000000036
Jujuy,7.66987215181415,17.20923978540554,8.053365759404858,5.000000000000007
La Pampa,4.28304837616766,9.291688324976617,4.497200794976043,5.0
La Rioja,6.1560132256261,20.79586006879485,6.463813886907405,5.000000000000009
Mendoza,5.78601567715813,14.867812320279436,6.075316461016037,4.999999999999999
Misiones,12.4874857587211,28.90183042687181,13.111860046657155,5.0
Neuquén,14.6742442866248,31.061870659916227,15.407956500956042,5.000000000000009
Río Negro,10.0644600810675,22.761131735454708,10.567683085120875,4.999999999999997
Salta,9.26584817756241,25.51226914594281,9.729140586440531,5.000000000000012
San Juan,5.73820472587736,8.850696587126581,6.025114962171227,4.9999999999999964
San Luis,8.81498757935413,28.98381675858839,9.255736958321837,5.000000000000009
Santa Cruz,5.36971571660038,8.40829398214465,5.638201502430399,4.999999999999998
Santa Fe,12.3573260434886,29.291079513758643,12.97519234566303,5.000000000000005
Santiago Del Estero,5.77984251236905,13.205254673844061,6.068834637987503,5.000000000000007
Tierra Del Fuego,5.98788374717833,7.989260750593337,6.287277934537246,4.9999999999999964
Tucumán,15.2559503624883,32.51176385893377,16.018747880612715,5.000000000000003
Buenos Aires,14.6793755121758,44.001792787906716,15.413344287784591,5.000000000000003
Capital Federal,18.9381345892782,63.331717870208955,19.88504131874211,5.000000000000009
Catamarca,7.69309650745294,29.836084392605336,8.077751332825587,5.0
Chaco,12.4994601819958,32.95065270309209,13.12443319109559,5.0
Chubut,5.32985773059891,8.194332114660515,5.596350617128856,5.000000000000006
Córdoba,13.8768094063495,35.07736611619202,14.570649876666975,5.000000000000003
Corrientes,10.8776528955992,29.335323255693304,11.42153554037916,5.000000000000009
Entre Ríos,10.18670275176,27.630179819463983,10.696037889348,4.999999999999997
Formosa,8.97498653077717,23.28657364915028,9.423735857316029,5.00000000000001
Jujuy,6.28934558921364,17.20923978540554,6.603812868674322,5.000000000000011
La Pampa,4.09836417105747,9.291688324976617,4.303282379610343,5.000000000000008
